city,date,actual_max,unit
chicago,2024-03-01,46.0,F
chicago,2024-03-02,60.0,F
chicago,2024-03-03,73.0,F
chicago,2024-03-04,72.0,F
chicago,2024-03-05,45.0,F
chicago,2024-03-06,47.0,F
chicago,2024-03-07,51.0,F
chicago,2024-03-08,46.0,F
chicago,2024-03-09,45.0,F
chicago,2024-03-10,47.0,F
chicago,2024-03-11,67.0,F
chicago,2024-03-12,71.0,F
chicago,2024-03-13,69.0,F
chicago,2024-03-14,64.0,F
chicago,2024-03-15,54.0,F
chicago,2024-03-16,58.0,F
chicago,2024-03-17,41.0,F
chicago,2024-03-18,37.0,F
chicago,2024-03-19,58.0,F
chicago,2024-03-20,44.0,F
chicago,2024-03-21,41.0,F
chicago,2024-03-22,39.0,F
chicago,2024-03-23,38.0,F
chicago,2024-03-24,48.0,F
chicago,2024-03-25,63.0,F
chicago,2024-03-26,55.0,F
chicago,2024-03-27,42.0,F
chicago,2024-03-28,51.0,F
chicago,2024-03-29,54.0,F
chicago,2024-03-30,61.0,F
chicago,2024-03-31,54.0,F
chicago,2024-04-01,48.0,F
chicago,2024-04-02,45.0,F
chicago,2024-04-03,39.0,F
chicago,2024-04-04,45.0,F
chicago,2024-04-05,49.0,F
chicago,2024-04-06,53.0,F
chicago,2024-04-07,50.0,F
chicago,2024-04-08,71.0,F
chicago,2024-04-09,63.0,F
chicago,2024-04-10,69.0,F
chicago,2024-04-11,60.0,F
chicago,2024-04-12,64.0,F
chicago,2024-04-13,71.0,F
chicago,2024-04-14,81.0,F
chicago,2024-04-15,76.0,F
chicago,2024-04-16,81.0,F
chicago,2024-04-17,68.0,F
chicago,2024-04-18,58.0,F
chicago,2024-04-19,56.0,F
chicago,2024-04-20,45.0,F
chicago,2024-04-21,58.0,F
chicago,2024-04-22,67.0,F
chicago,2024-04-23,64.0,F
chicago,2024-04-24,47.0,F
chicago,2024-04-25,58.0,F
chicago,2024-04-26,63.0,F
chicago,2024-04-27,79.0,F
chicago,2024-04-28,75.0,F
chicago,2024-04-29,70.0,F
chicago,2024-04-30,74.0,F
chicago,2024-05-01,75.0,F
chicago,2024-05-02,81.0,F
chicago,2024-05-03,69.0,F
chicago,2024-05-04,81.0,F
chicago,2024-05-05,64.0,F
chicago,2024-05-06,70.0,F
chicago,2024-05-07,75.0,F
chicago,2024-05-08,79.0,F
chicago,2024-05-09,63.0,F
chicago,2024-05-10,67.0,F
chicago,2024-05-11,70.0,F
chicago,2024-05-12,83.0,F
chicago,2024-05-13,81.0,F
chicago,2024-05-14,62.0,F
chicago,2024-05-15,67.0,F
chicago,2024-05-16,75.0,F
chicago,2024-05-17,81.0,F
chicago,2024-05-18,85.0,F
chicago,2024-05-19,76.0,F
chicago,2024-05-20,86.0,F
chicago,2024-05-21,89.0,F
chicago,2024-05-22,80.0,F
chicago,2024-05-23,81.0,F
chicago,2024-05-24,77.0,F
chicago,2024-05-25,76.0,F
chicago,2024-05-26,73.0,F
chicago,2024-05-27,74.0,F
chicago,2024-05-28,72.0,F
chicago,2024-05-29,70.0,F
chicago,2024-05-30,70.0,F
chicago,2024-05-31,79.0,F
chicago,2024-06-01,68.0,F
chicago,2024-06-02,77.0,F
chicago,2024-06-03,86.0,F
chicago,2024-06-04,85.0,F
chicago,2024-06-05,79.0,F
chicago,2024-06-06,78.0,F
chicago,2024-06-07,78.0,F
chicago,2024-06-08,77.0,F
chicago,2024-06-09,80.0,F
chicago,2024-06-10,69.0,F
chicago,2024-06-11,78.0,F
chicago,2024-06-12,91.0,F
chicago,2024-06-13,91.0,F
chicago,2024-06-14,86.0,F
chicago,2024-06-15,86.0,F
chicago,2024-06-16,95.0,F
chicago,2024-06-17,97.0,F
chicago,2024-06-18,94.0,F
chicago,2024-06-19,93.0,F
chicago,2024-06-20,85.0,F
chicago,2024-06-21,94.0,F
chicago,2024-06-22,93.0,F
chicago,2024-06-23,80.0,F
chicago,2024-06-24,88.0,F
